image,power_mse_classic,power_mse_deep,cosine_power_classic,cosine_power_deep,cum_mse_classic,cum_mse_deep,low_mse_classic,mid_mse_classic,high_mse_classic,low_mse_deep,mid_mse_deep,high_mse_deep,dk50_classic,dk80_classic,dk50_deep,dk80_deep
MariaSamaNihaNaisyo,4.046143340873086e-12,1.0784115372792145e-13,0.9999999999324355,0.9999999999822118,5.0059622865961414e-05,1.9698559126849343e-06,4.0148309163683325e-11,1.0786028080782235e-14,1.4062907939663017e-17,1.070666005926386e-12,7.958511504682928e-17,3.367451456785703e-18,0.0,0.0,0.0,0.0
MayaNoAkaiKutsu,3.3250967126980623e-12,8.964352228353392e-12,0.9999999998582755,0.9999999987196133,1.3518911062702599e-05,1.7457362974094362e-07,3.300519904890176e-11,4.995099054098602e-15,2.025374678452744e-18,8.902094589341228e-11,1.695265233429879e-17,2.595299211716232e-19,0.0,-0.21044900505667835,0.0,-0.006660518969675677
MemorySeijin,1.3158391088165677e-13,1.387461481875888e-13,0.999999999996599,0.999999999977285,7.897074743833962e-07,1.1334069467272517e-07,1.3061982695292611e-12,1.6894697292922308e-16,1.5472365512011342e-19,1.37780827044004e-12,5.864708705996792e-18,1.0615593478892045e-19,0.0,0.0,0.0,0.0
MeteoSanStrikeDesu,5.882909843548456e-12,1.1397826546252676e-12,0.9999999999677536,0.9999999996125744,2.1562477302345455e-05,5.148229973714853e-07,5.83948055233461e-11,8.660012810720503e-15,3.032043511431782e-18,1.1318378514601973e-11,9.875192109855395e-17,4.955480103722238e-19,0.0,-0.2033000401389215,0.0,-0.017624124348555092
MiraiSan,9.465118494504437e-12,5.708938697450956e-12,0.9999999999841301,0.999999999401898,0.0003772049879629272,0.00010982876527596778,9.380702940486919e-11,6.241630798150911e-14,2.255057095925119e-16,5.667621915780375e-11,5.281537211308686e-15,1.708885216307714e-16,0.0,0.0,0.0,0.0
MisutenaideDaisy,7.485669425969474e-13,5.630685865091272e-15,0.9999999999951897,0.9999999999971007,8.150563684769922e-06,6.218555491355395e-08,7.42589094376877e-12,2.6215767006608486e-15,4.639987342776903e-19,5.5870638846572825e-14,1.5199983798020394e-17,3.738300626749489e-21,0.0,0.0,0.0,0.0
MoeruOnisanvol01,6.520644401500714e-12,8.28967385120281e-13,0.9999999999699377,0.9999999998485518,8.6860501781855e-05,1.0241568182474712e-06,6.465093714411596e-11,3.452511090516122e-14,1.1446175052728463e-17,8.231205884299212e-12,2.9966837044064473e-16,1.7001406140741574e-18,0.0,0.0,0.0,0.0
MoeruOnisanvol19,4.090344231745328e-12,1.3837567555483149e-13,0.9999999999803373,0.9999999999824246,4.532854508351273e-05,1.084779701146549e-06,4.058067389778353e-11,1.3014349876883858e-14,5.920987263539644e-18,1.3738286501363497e-12,1.0534104493032358e-16,9.397834649050522e-19,0.0,0.0,0.0,0.0
MomoyamaHaikagura,1.784122809369147e-12,1.9286420508981644e-12,0.9999999999957836,0.9999999999004071,0.00010356323374918148,3.849693899513281e-05,1.7692933256562597e-11,7.918472076273443e-15,1.450025710736947e-16,1.914955963167079e-11,7.434780938293654e-16,1.207207919777935e-16,0.0,0.0,0.0,0.0
MukoukizuNoChonbo,1.1482044901039658e-10,8.41001505575911e-11,0.9999999956202773,0.9999999813897181,9.193537097787181e-05,9.922542060139586e-07,1.1398734161570732e-09,1.2019293115144915e-13,3.22239626670873e-17,8.351594112814681e-10,6.01941705093988e-16,2.8525391975257365e-18,-0.09008623998712417,-0.9479184990890799,-0.0017041428083992838,-0.06343275986954033
MutekiBoukenSyakuma,5.812828976456955e-12,2.4046683450672495e-13,0.9999999999784898,0.999999999952941,5.511467059004581e-05,2.7087515413751913e-07,5.763608291772833e-11,2.9781277980147865e-14,3.632248322236777e-18,2.3877917382128868e-12,5.947191500456828e-17,1.2740920746508537e-19,0.0,0.0,0.0,0.0
Nekodama,5.7852722865247235e-12,1.723101329212442e-14,0.9999999999803325,0.9999999999943896,6.981803958828248e-05,8.632266338190625e-07,5.738607651993379e-11,2.1804210385929462e-14,1.419253134335761e-17,1.7094713650039874e-13,5.303649584595536e-17,1.4739765785182247e-18,0.0,0.0,0.0,0.0
